waypoint1	waypoint2	distance_m	duration_s
Santorini, Thira, Greece	Keukenhof, Stationsweg, Lisse, Netherlands	3205877	136105
Santorini, Thira, Greece	Edinburgh, United Kingdom	4136178	172157
Inverness, United Kingdom	Santorini, Thira, Greece	4432423	181425
Santorini, Thira, Greece	Ballybunion, Ireland	4402594	187511
Santorini, Thira, Greece	Cliffs of Moher, Clare, Ireland	4400603	187346
Santorini, Thira, Greece	Cornwall, England	3911306	163480
Santorini, Thira, Greece	Stonehenge, Amesbury, United Kingdom	3632536	152424
London, United Kingdom	Santorini, Thira, Greece	3508851	149456
Brussels, Belgium	Santorini, Thira, Greece	3135625	133701
Santorini, Thira, Greece	Paris, France	3193697	135164
Santorini, Thira, Greece	Pamplona, Spain	3264124	163199
Santorini, Thira, Greece	Lagos, Portugal	4234990	193651
Santorini, Thira, Greece	Granada, Spain	3849976	180793
Santorini, Thira, Greece	Ibiza, Spain	3541860	176615
Barcelona, Spain	Santorini, Thira, Greece	2974752	153581
Santorini, Thira, Greece	Luberone, Bonnieux, France	2537766	139751
Santorini, Thira, Greece	Nice, France	2309650	131217
Santorini, Thira, Greece	Monte Carlo, Monaco	2295681	130835
Interlaken, Switzerland	Santorini, Thira, Greece	2688860	120536
Istanbul, Turkey	Rila Monastery, Rilski manastir, Bulgaria	678365	25468
Sighisoara, Mures County, Romania	Rila Monastery, Rilski manastir, Bulgaria	694204	37319
Budapest, Hungary	Rila Monastery, Rilski manastir, Bulgaria	871160	33883
Vienna, Austria	Rila Monastery, Rilski manastir, Bulgaria	1105919	41473
Prague, Czech Republic	Rila Monastery, Rilski manastir, Bulgaria	1387816	50688
Krakow, Poland	Rila Monastery, Rilski manastir, Bulgaria	1265569	54107
Jägala Waterfall, 74205 Harjumaa, Estonia	Rila Monastery, Rilski manastir, Bulgaria	2747343	108721
Lapland, Finland	Rila Monastery, Rilski manastir, Bulgaria	4148733	161490
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Rila Monastery, Rilski manastir, Bulgaria	4038189	155456
Bergen, Norway	Rila Monastery, Rilski manastir, Bulgaria	3180293	129937
Copenhagen, Denmark	Rila Monastery, Rilski manastir, Bulgaria	2170229	85848
Berlin, Germany	Rila Monastery, Rilski manastir, Bulgaria	1736390	63901
Amsterdam, Netherlands	Rila Monastery, Rilski manastir, Bulgaria	2259574	80810
Keukenhof, Stationsweg, Lisse, Netherlands	Rila Monastery, Rilski manastir, Bulgaria	2285743	81570
Edinburgh, United Kingdom	Rila Monastery, Rilski manastir, Bulgaria	3216043	117621
